Issue ID,K_true,K_pred,Precision,Recall,F1,MRR,NDCG@K,Predicted,True
751,1,1,1.0,1.0,1.0,1.0,1.0,['4724fd105d34'],['4724fd105d34']
2392,1,1,1.0,1.0,1.0,1.0,1.0,['bb8b2c56b63f'],['bb8b2c56b63f']
8159,5,5,0.8,0.8,0.8000000000000002,1.0,0.8687949224876582,"['b536b41d6c33', 'b6fe754cbbd8', 'c308b0da0fa3', 'ce6e4a4352a4', 'f8f52ab619e4']","['b536b41d6c33', 'b6fe754cbbd8', 'ce6e4a4352a4', 'e1bfa55c1cce', 'f8f52ab619e4']"
8283,1,1,1.0,1.0,1.0,1.0,1.0,['0fdd5f0a58d7'],['0fdd5f0a58d7']
8524,7,0,0.0,0.0,0.0,0.0,0.0,[],"['29aee5e5f892', '8d269d8ad540', '96acfd42371a', '9e1592992844', 'be08c7faa75d', 'c308b0da0fa3', 'd6e5d38d5234']"
9611,4,0,0.0,0.0,0.0,0.0,0.0,[],"['0269b5ab39d0', 'b290d7e3c637', 'c7b9d1a02846', 'fc665801a95b']"
9655,6,0,0.0,0.0,0.0,0.0,0.0,[],"['1d257877f59f', '24b65053cd36', '3a47252b59b7', '3c2a89447101', '72b086fa4691', 'b1ce824be7bb']"
9997,1,1,0.0,0.0,0.0,0.0,0.0,['5430d89558b9'],['ca620d4e2740']
10146,2,2,0.5,0.5,0.5,1.0,0.6131471927654584,"['29aee5e5f892', 'c73685b992d6']","['c73685b992d6', 'f3baca4c45fd']"
10856,1,1,1.0,1.0,1.0,1.0,1.0,['39e9a710b674'],['39e9a710b674']
10870,1,1,1.0,1.0,1.0,1.0,1.0,['23288c26c20a'],['23288c26c20a']
10873,6,0,0.0,0.0,0.0,0.0,0.0,[],"['05cab3046f15', '1adf2e04bf63', '3a0cfd603bd2', 'a936850ca6eb', 'f97163a57a36', 'f9bce649607e']"
11352,2,2,1.0,1.0,1.0,1.0,1.0,"['8b94e323681b', 'ff4d41a14df5']","['8b94e323681b', 'ff4d41a14df5']"
11688,1,1,1.0,1.0,1.0,1.0,1.0,['b631ad27f9b3'],['b631ad27f9b3']
11699,1,1,1.0,1.0,1.0,1.0,1.0,['33771560b965'],['33771560b965']
12036,1,1,0.0,0.0,0.0,0.0,0.0,['ec06b3fdb263'],['2a6b134a7192']
12089,1,1,1.0,1.0,1.0,1.0,1.0,['5dfbd648fcf6'],['5dfbd648fcf6']
12406,1,1,1.0,1.0,1.0,1.0,1.0,['5d25440c0c68'],['5d25440c0c68']
12807,2,0,0.0,0.0,0.0,0.0,0.0,[],"['07d6c82f5cc5', '45aaa501738a']"
12885,1,1,1.0,1.0,1.0,1.0,1.0,['4e73b1f6ef85'],['4e73b1f6ef85']
12970,5,0,0.0,0.0,0.0,0.0,0.0,[],"['18919e671a2c', '673dcbd7df54', '70b29e6a3066', '7d1accd5c230', 'd5ca1ddda2d0']"
13320,4,4,0.0,0.0,0.0,0.0,0.0,"['96a16dd48d06', 'a16e5e767e5b', 'd57331aef60a', 'f2787856e5cf']","['0e6e0d12a417', '58e5bdaf24da', '9cd3b2458b8a', 'dd1d734d2441']"
13446,7,0,0.0,0.0,0.0,0.0,0.0,[],"['5f25b853f432', '645ce340bc23', '85cd5886515f', 'c634cbe1c0b2', 'e8ee60873094', 'f029c2accd0d', 'fd95789f68cd']"
13449,1,1,1.0,1.0,1.0,1.0,1.0,['3f8e4723d3ed'],['3f8e4723d3ed']
13484,2,2,0.5,0.5,0.5,1.0,0.6131471927654584,"['5919d65d1512', '853fdf9caac6']","['5919d65d1512', '958fd1a250cf']"
13817,4,0,0.0,0.0,0.0,0.0,0.0,[],"['101877b9541d', '2162a5c4f7e7', '640619d76bb4', 'f5c25492b19c']"
13976,1,1,1.0,1.0,1.0,1.0,1.0,['d34c79175e0c'],['d34c79175e0c']
14125,5,0,0.0,0.0,0.0,0.0,0.0,[],"['1165ba2f02e3', '53d0a7983a0d', '66ed2fba557d', 'cb74559fa785', 'f44cec901b40']"
14304,1,1,1.0,1.0,1.0,1.0,1.0,['48c2740dc27a'],['48c2740dc27a']
14396,6,0,0.0,0.0,0.0,0.0,0.0,[],"['4f50a6e0d8e2', '9897342d1735', '98d697f08186', 'c6698c31702d', 'c91ee992d19e', 'd66e338ba062']"
14583,4,0,0.0,0.0,0.0,0.0,0.0,[],"['0668232c21ef', '8ab91f4d6335', 'bd184f79836a', 'd03450e4ea02']"
14875,7,0,0.0,0.0,0.0,0.0,0.0,[],"['264ce1820151', '3e4ff20bd271', '46deb400199d', '81a7edb99bd5', '8a55041b25bf', 'd8c00d26f221', 'f60f4f073ab0']"
15025,4,4,1.0,1.0,1.0,1.0,1.0,"['09a2555c07ca', '25d58c9958a1', '65c635767e1a', '9f379a79f07f']","['09a2555c07ca', '25d58c9958a1', '65c635767e1a', '9f379a79f07f']"
15375,2,0,0.0,0.0,0.0,0.0,0.0,[],"['47c030b6b6e0', 'cfc29afd959c']"
15535,2,2,0.5,0.5,0.5,0.5,0.38685280723454163,"['97263d23dbaf', 'c5a5ed1c3eb5']","['c5a5ed1c3eb5', 'e35e69d43d5d']"
15555,2,0,0.0,0.0,0.0,0.0,0.0,[],"['c74b6553dccf', 'c85e1f5b0eb1']"
15636,3,0,0.0,0.0,0.0,0.0,0.0,[],"['a66a190577ac', 'a982c8490a32', 'f97c945923ba']"
15670,1,1,1.0,1.0,1.0,1.0,1.0,['c2ce8d3ba9e8'],['c2ce8d3ba9e8']
16146,1,0,0.0,0.0,0.0,0.0,0.0,[],['3cb7d42b806b']
16270,3,0,0.0,0.0,0.0,0.0,0.0,[],"['b2c030a76553', 'cfb5ab69c7f6', 'f8894be878e8']"
16535,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,"['8ca7cfd132aa', 'd00242a00643', 'e55ed7cd6272']","['caca84a7c511', 'e55ed7cd6272', 'f2f388249f3c']"
16687,1,1,1.0,1.0,1.0,1.0,1.0,['e11c60253389'],['e11c60253389']
16887,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,"['996eee406d46', '9a937ca88c24', 'aeadfc93b78c']","['7f6b29e5ec1f', '996eee406d46', 'aeadfc93b78c']"
17020,1,1,1.0,1.0,1.0,1.0,1.0,['e4915a6134fc'],['e4915a6134fc']
17105,5,0,0.0,0.0,0.0,0.0,0.0,[],"['194dff191b52', '52bbda007338', '8182091b7335', '9df7630dd247', 'c4733e42a072']"
17267,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7039180890341347,"['0d6e39fb90ef', 'a0caeeb23707', 'aea907732887']","['0d6e39fb90ef', '6eac1a93f58f', 'a0caeeb23707']"
17285,2,2,1.0,1.0,1.0,1.0,1.0,"['56b6f3b88f72', 'a0d8ca11126a']","['56b6f3b88f72', 'a0d8ca11126a']"
17320,2,2,0.5,0.5,0.5,1.0,0.6131471927654584,"['453b54386bca', '63a1557b8ab0']","['453b54386bca', 'ce8e6a0ee6ff']"
17337,1,1,1.0,1.0,1.0,1.0,1.0,['81b8849bd6ba'],['81b8849bd6ba']
17338,2,2,1.0,1.0,1.0,1.0,1.0,"['09e0d5b6e1de', '630dee55c037']","['09e0d5b6e1de', '630dee55c037']"
17472,2,0,0.0,0.0,0.0,0.0,0.0,[],"['44393214ecab', 'f275662de2e4']"
17548,1,1,1.0,1.0,1.0,1.0,1.0,['d00242a00643'],['d00242a00643']
17595,1,1,0.0,0.0,0.0,0.0,0.0,['e19bf97886dc'],['1202a482a26c']
17640,3,0,0.0,0.0,0.0,0.0,0.0,[],"['97263d23dbaf', 'ab049bff5fc7', 'e1348de8f5e5']"
17761,1,1,0.0,0.0,0.0,0.0,0.0,['466db8f98a28'],['8265143d7f2c']
18019,3,0,0.0,0.0,0.0,0.0,0.0,[],"['3a85c5db2cf9', '675ebe00e316', '7e474787f561']"
18061,2,0,0.0,0.0,0.0,0.0,0.0,[],"['151d0ffb0780', 'f1b508358c20']"
18091,1,1,1.0,1.0,1.0,1.0,1.0,['55a0544d0b84'],['55a0544d0b84']
18266,1,1,1.0,1.0,1.0,1.0,1.0,['049a0ea426de'],['049a0ea426de']
18293,1,1,1.0,1.0,1.0,1.0,1.0,['38ff2017823e'],['38ff2017823e']
18569,2,0,0.0,0.0,0.0,0.0,0.0,[],"['039791e8296f', '69f068e49a06']"
18593,1,0,0.0,0.0,0.0,0.0,0.0,[],['8e9203db1aa6']
18685,4,0,0.0,0.0,0.0,0.0,0.0,[],"['1b1b92b9bc3a', '3460b3428e3e', '92f87ab31643', 'cb827a62ab84']"
18687,1,1,1.0,1.0,1.0,1.0,1.0,['8ddb120ec5d6'],['8ddb120ec5d6']
18725,1,1,1.0,1.0,1.0,1.0,1.0,['8246dd5e8eec'],['8246dd5e8eec']
18730,1,1,1.0,1.0,1.0,1.0,1.0,['7eddf1493a30'],['7eddf1493a30']
18765,1,1,0.0,0.0,0.0,0.0,0.0,['cd270c64ceba'],['3e3065817bfb']
18840,1,1,1.0,1.0,1.0,1.0,1.0,['4378fec28a1f'],['4378fec28a1f']
18909,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.23463936301137822,"['9410a84afb24', 'ba65864eea81', 'c69f529168ba']","['6b5524320ef5', '9410a84afb24', 'b7ee3fffc4dd']"
19043,7,0,0.0,0.0,0.0,0.0,0.0,[],"['02103a7e61a5', '0c8e4264f3b4', 'a54b7c04fe4b', 'b74860e7a891', 'e7dcf0b02c39', 'eacd7744dc5d', 'f1fdaf49bf5f']"
19473,4,0,0.0,0.0,0.0,0.0,0.0,[],"['543e24758ecf', '75397c1c1dde', '962993681e4b', 'dc68a2a97f84']"
19563,1,1,1.0,1.0,1.0,1.0,1.0,['e1b2132bb8a0'],['e1b2132bb8a0']
19705,1,1,1.0,1.0,1.0,1.0,1.0,['adb3d9137fd3'],['adb3d9137fd3']
20069,1,0,0.0,0.0,0.0,0.0,0.0,[],['d4b76436073f']
20411,3,0,0.0,0.0,0.0,0.0,0.0,[],"['77804c3991ce', '7899566746e9', 'eb22f50e2725']"
